course_name,platform,category,career_domain,skills_required,tags,difficulty,duration,rating,description
Complete Web Development Bootcamp,Pluralsight,Web Development,Software Engineering,"CSS, HTML, Django, JavaScript","frontend, javascript, web development, backend, beginner",Beginner,12 weeks,3.7,"A project-based beginner course teaching CSS, HTML, Django, JavaScript with real industry use cases."
Complete Web Development Bootcamp - Part 2,Coursera,Web Development,Software Engineering,"HTML, Git, CSS, Django","javascript, web development, backend, full stack, intermediate",Intermediate,20 hours,4.1,"A project-based intermediate course teaching HTML, Git, CSS, Django with real industry use cases."
Modern JavaScript from Scratch,LinkedIn Learning,Web Development,Software Engineering,"Node.js, REST APIs, HTML, CSS","full stack, backend, frontend, web development, intermediate",Intermediate,10 weeks,4.8,"Hands-on Web Development training focused on Node.js, REST APIs, HTML, CSS, designed for intermediate learners."
Modern JavaScript from Scratch - Part 2,Coursera,Web Development,Software Engineering,"CSS, React, HTML, JavaScript","backend, javascript, web development, frontend, advanced",Advanced,12 weeks,3.8,"A project-based advanced course teaching CSS, React, HTML, JavaScript with real industry use cases."
React - The Complete Guide,Coursera,Web Development,Software Engineering,"Node.js, REST APIs, Django, Git","backend, frontend, javascript, web development, advanced",Advanced,8 weeks,4.5,"A advanced level course covering Node.js, REST APIs, Django, Git for learners aiming to become a Software Engineering."
React - The Complete Guide - Part 2,Coursera,Web Development,Software Engineering,"React, REST APIs, HTML, Git","backend, full stack, javascript, frontend, beginner",Beginner,6 weeks,4.1,"Hands-on Web Development training focused on React, REST APIs, HTML, Git, designed for beginner learners."
Django for Beginners,Pluralsight,Web Development,Software Engineering,"Node.js, Django, REST APIs, HTML","javascript, frontend, backend, web development, beginner",Beginner,8 weeks,4.2,"Hands-on Web Development training focused on Node.js, Django, REST APIs, HTML, designed for beginner learners."
Django for Beginners - Part 2,Pluralsight,Web Development,Software Engineering,"React, Django, JavaScript, HTML","frontend, web development, javascript, backend, intermediate",Intermediate,40 hours,3.7,"Learn React, Django, JavaScript, HTML through practical projects in this intermediate Web Development course."
Node.js API Masterclass,Pluralsight,Web Development,Software Engineering,"Django, CSS, Git, React","full stack, javascript, web development, frontend, intermediate",Intermediate,30 hours,3.9,"Hands-on Web Development training focused on Django, CSS, Git, React, designed for intermediate learners."
Node.js API Masterclass - Part 2,LinkedIn Learning,Web Development,Software Engineering,"Node.js, Django, Git, React","javascript, full stack, frontend, web development, advanced",Advanced,3 weeks,4.3,"Hands-on Web Development training focused on Node.js, Django, Git, React, designed for advanced learners."
